名前,設定値,上限1,上限2
黒龍の伝説,0,2,4
New World,0,2,4
災禍転福,3,3,3
攻めの守勢,0,3,3
鈍器使い,0,1,1
業物／弾丸節約,0,1,1
クラッチ攻撃強化,0,1,1
受け身術,0,1,1
根性,0,1,1
奮起,0,1,1
陽動攻撃,0,1,1
